,a.title,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,score_sum,time_since_pub,weighted_score
1318767,Cleavage of Structural Proteins during the Assembly of the Head of Bacteriophage T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19250000000000006,0.3980384999999999,0.6309215,1.6046900000000002,3.3286259999999994,5.9983059999999995,9.7379405,14.296847500000002,20.9293465,29.4449185,42.63203950000001,57.13706,75.58650549999999,97.9593895,124.1520375,153.55703100000005,186.5053005,224.01568999999998,266.108829,310.4348925,357.83627299999995,407.670022,458.19646150000005,503.65248099999985,548.8842705,594.0924894999999,635.8655014999999,688.0280889999998,741.6210480000001,794.1121519999997,848.9690355000001,8203.578733499999,31,264.63157204838706
670700,Analysis of C14-labeled proteins by disc electrophoresis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.181875,0.3866655000000001,0.39344,0.5103150000000001,0.6920025000000001,1.0759814999999997,1.3639529999999995,2.4816350000000007,4.325148999999999,6.835725999999999,10.390664,14.649504,20.5233865,28.209503,39.77214650000001,52.248812,67.995827,87.16819749999998,109.462584,134.48718749999998,162.58494050000004,194.488866,230.304687,267.92097799999993,308.1473555,350.362325,393.0423125,431.348081,469.41555200000005,507.41351,542.4920920000002,586.149673,630.747745,674.242687,719.5746150000001,7051.539974,36,195.8761103888889
2174016,Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.21375,0.547868,1.3979275000000002,3.118251,6.1367965,11.365903,17.664930000000005,24.963591,34.149558,45.28529749999999,56.856492,67.531234,78.19539349999998,89.69738100000001,99.3310175,110.21492750000002,120.42794099999999,132.0941655,143.60558799999998,155.42161649999997,166.3254335,1364.6950625,22,62.03159375
3073432,International Tables for X-Ray Crystallography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7280000000000001,1.238,2.7578,3.7682375,5.4182915000000005,6.933153,8.5525305,9.851951,12.1738535,14.3042595,15.7041075,17.384209,18.9181105,20.130524999999995,22.3570915,25.145525000000006,27.854866,29.690407,32.32674149999999,34.03277649999999,37.0261025,40.2473475,44.156735499999996,49.2958015,53.455990500000006,58.95784499999999,66.12067599999999,73.48550949999999,80.39676599999999,86.53874699999999,93.3642215,98.928823,109.025055,116.7019915,124.31913899999999,131.77692,138.13556599999998,143.57886399999998,1854.782537,38,48.8100667631579
1362890,Colorimetric method for determination of sugars and related substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2775,0.2775,0.513375,0.646927,0.8518025,1.0158355,1.3792105,1.5810854999999997,1.7808355000000002,1.9824385,2.4394154999999995,3.219265,4.191579999999999,5.580837000000002,6.3299080000000005,7.1746634999999985,8.6230125,10.065725999999998,11.687152000000001,13.447085500000002,15.501289000000002,18.429904500000003,22.181796,25.189801499999994,28.617392499999998,32.504391500000004,36.6632035,40.698094,44.2341195,48.92816800000001,53.2375065,57.643813,62.57565750000001,67.71977249999999,72.42081649999999,77.86349399999997,83.78897149999997,88.50004549999998,93.1910255,98.2208665,104.013098,108.98763799999999,113.81717649999999,119.370048,124.65733700000001,1722.0205815,45,38.26712403333333
5506725,THE PREPARATION OF 131I-LABELLED HUMAN GROWTH HORMONE OF HIGH SPECIFIC RADIOACTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.405,0.681675,1.0761515,1.3911445,2.1728895,2.612212,3.5967755,4.8907475,6.01925,7.4411725,9.803747500000002,11.4553655,13.664753500000002,16.696797,19.8464465,22.392766,25.4210865,29.1748735,32.226892,35.97489899999999,40.6097365,44.1609175,47.59564,51.7609545,56.424148,60.1497745,63.60341800000001,66.52699299999999,69.32084950000001,71.625446,73.400399,76.16164099999997,77.84914599999999,80.04031850000001,82.36482199999998,84.22646650000002,86.112336,1379.0276514999998,38,36.29020135526315
2540595,Functional analysis and semi-groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.641583500000003,29.7271865,30.994341,31.921062,32.870647999999996,154.154821,5,30.8309642
655331,An introduction to computing with neural nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309375,1.9743125,4.8487235,8.519644,15.855577499999999,22.1769085,28.890259499999996,34.2237375,39.906863,44.5043685,49.185888,53.031237,58.437679,63.3194415,425.184015,14,30.370286785714285
762702,Applied logistic regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.924369499999994,29.924369499999994,1,29.924369499999994
2447147,Filter-paper partition chromatography of sugars: 1. General description and application to the qualitative analysis of sugars in apple juice egg white and foetal blood of sheep. with a note by R. G. Westall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.2775,0.7782859999999999,1.0694109999999997,1.5770734999999998,2.073261,2.168886,2.5767075,3.509829,4.080502,4.570765,5.619716,6.238711499999999,7.0316255000000005,7.5387185,8.593322,9.667050500000002,10.5373995,12.0314105,13.4980855,15.1914045,16.5451315,18.147101,19.490917,21.1800285,22.5416435,23.9057745,25.41438,27.157186,29.108803,31.155212,33.177566,35.3307435,37.55391,40.023449,42.226003000000006,44.1534035,46.12871,48.123048,50.311186,52.690489,54.6292795,56.469469999999994,58.71060550000001,61.0986465,62.93419600000001,64.78236799999999,66.7395865,68.68291599999999,70.279658,72.09892999999998,73.9705195,75.75861350000002,1569.2991389999997,53,29.609417716981127
3425539,Linear Statistical Inference and its Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482911,0.58775,1.087125,1.339082,1.8541225,2.2470095000000003,3.9852595,4.7434765,5.845085,7.230653,7.899501000000001,9.176575,10.734803499999998,11.9347315,14.359773,16.260279500000006,18.374136000000004,21.799882500000002,25.2453405,28.0607955,30.861834499999997,34.4590175,38.246048,41.826503,45.5967035,50.09283799999999,53.31999049999999,57.05220449999999,62.6383365,67.79646799999999,73.5094965,79.44091549999997,85.767865,913.856513,33,27.692621606060605
6281130,Use of avidin-biotin-peroxidase complex (ABC) in immunoperoxidase techniques: a comparison between ABC and unlabeled antibody (PAP) procedures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.2775,0.7080675000000001,1.4284084999999995,2.7250240000000003,5.055061,7.805491000000001,11.643105,15.571983499999998,19.044726500000003,22.8300825,26.240001999999997,30.620035,34.685772,39.420714000000004,43.4341165,48.54558299999999,53.06724299999999,58.4539225,62.94613849999999,484.65297599999985,20,24.232648799999993
3512973,METHODS FOR DETECTING CARCINOGENS AND MUTAGENS WITH THE SALMONELLA/MAMMALIAN-MICROSOME MUTAGENICITY TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.3834865000000001,1.0702695,2.445493,3.9164775,6.714711500000001,9.563835000000001,12.1249785,15.8188745,18.168011,21.884738,24.428312,26.200307,28.8221745,30.446533000000002,31.9941025,33.577406,34.961138000000005,35.95921649999999,37.70692699999999,38.5195695,39.6046625,40.81659249999999,41.849911999999996,42.72196099999999,43.614418500000006,623.4641075000001,26,23.979388750000002
2597386,Generalized Expectancies for Internal versus External Control of Reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,0.373125,0.6946545,0.7307794999999999,1.2875294999999998,2.154674,2.98407,4.3294584999999985,5.540257999999999,6.777824000000002,8.572497,9.710247500000001,11.431523,13.384652999999998,15.320664,18.122816500000003,19.888997500000002,22.033301,24.789179500000003,26.308316499999997,29.13582449999999,31.049420999999995,32.498195,34.526677500000005,36.3392175,38.3357145,40.2805315,41.97454749999999,44.0075945,46.10861599999999,47.43072300000001,49.203228,50.787628000000005,52.7695645,55.36243849999999,824.39449,35,23.554128285714285
